고유 번호,자격구분명,계열명,종목명,상세분야,언어,급수
3094,일학습병행자격,L4,제강,,,L4
3095,일학습병행자격,L4,제선,,,L4
3096,일학습병행자격,L3,제직의류생산,,,L3
3097,일학습병행자격,L3,제품디자인,,,L3
3098,일학습병행자격,L5,제품디자인,,,L5
3099,일학습병행자격,L3,종자유통,,,L3
3100,일학습병행자격,L5,종자유통,,,L5
3101,일학습병행자격,L5,종축,,,L5
3102,과정평가형자격,기능사,건축목공기능사,,,
3103,과정평가형자격,기사,금속재료기사,,,
3104,과정평가형자격,기사,바이오화학제품제조산업기사,,,
3105,일학습병행자격,L3,디지털디자인,,,L3
3106,일학습병행자격,L3,헤어디자인,,,L3
3107,일학습병행자격,L3,식음료서비스,,,L3
3108,일학습병행자격,L2,측량·지리정보개발,,,L2
3109,일학습병행자격,L2,철근콘크리트·가설시공,,,L2
3110,일학습병행자격,L3,자동차정비,,,L3
3111,일학습병행자격,L3,도자공예,,,L3
3112,일학습병행자격,L5,바이오에너지생산기술,,,L5
3113,일학습병행자격,L2,SW개발,,,L2
3114,과정평가형자격,기능사,롤러운전기능사,,,
3115,과정평가형자격,기사,화약류제조기사,,,
3116,과정평가형자격,기능사,스마트공장기능사,,,
3117,일학습병행자격,L5,총무·인사,,,L5
3118,일학습병행자격,L3,자동차차체도장,,,L3
3119,일학습병행자격,L2,주얼리머천다이징,,,L2
3120,일학습병행자격,L4,주얼리머천다이징,,,L4
3121,일학습병행자격,L3,주얼리캐드원형,,,L3
3122,일학습병행자격,L2,주조,,,L2
3123,일학습병행자격,L4,주조,,,L4
3124,일학습병행자격,L3,주택관리,,,L3
3125,일학습병행자격,L5,주택관리,,,L5
3126,일학습병행자격,L5,증권금융자산관리,,,L5
3127,일학습병행자격,L2,중식조리,,,L2
3128,일학습병행자격,L4,중식조리,,,L4
3129,일학습병행자격,L3,지게차정비,,,L3
3130,일학습병행자격,L2,지게차조종,,,L2
3131,일학습병행자격,L2,지식재산사무,,,L2
3132,일학습병행자격,L5,지식재산사무,,,L5
3133,일학습병행자격,L5,직업상담,,,L5
3134,일학습병행자격,L5,차량손해사정,,,L5
3135,일학습병행자격,L2,창호시공,,,L2
3136,일학습병행자격,L5,채권관리,,,L5
3137,일학습병행자격,L3,채소재배,,,L3
3138,일학습병행자격,L3,철강재시공,,,L3
3139,일학습병행자격,L2,철근콘크리트·가설시공,,,L2
3140,일학습병행자격,L5,철도관제,,,L5
3141,일학습병행자격,L4,철도선로시설물유지보수,,,L4
3142,일학습병행자격,L5,철도신호시공,,,L5
3143,일학습병행자격,L4,철도운전,,,L4
3144,일학습병행자격,L5,철도정보통신시설물유지보수,,,L5
3145,일학습병행자격,L5,철도차량설계,,,L5
3146,일학습병행자격,L3,철도차량유지보수,,,L3
3147,일학습병행자격,L5,철도차량유지보수,,,L5
3148,일학습병행자격,L4,청소년상담복지,,,L4
3149,일학습병행자격,L3,축산식품저장·유통,,,L3
3150,일학습병행자격,L5,출판에디터,,,L5
3151,일학습병행자격,L5,출판콘텐츠연출가,,,L5
3152,일학습병행자격,L3,칠공예,,,L3
3153,과정평가형자격,기능사,정보기기운용기능사,,,
3154,과정평가형자격,기능사,전자출판기능사,,,
3155,과정평가형자격,기능사,화훼장식기능사,,,
3156,과정평가형자격,기능사,중식조리기능사,,,
3157,과정평가형자격,기능사,복어조리기능사,,,
3158,과정평가형자격,기능사,일식조리기능사,,,
3159,과정평가형자격,기사,양식조리산업기사,,,
3160,과정평가형자격,기사,중식조리산업기사,,,
3161,과정평가형자격,기사,식품산업기사,,,
3162,과정평가형자격,기능사,승강기기능사,,,
3163,과정평가형자격,기사,승강기산업기사,,,
3164,과정평가형자격,기능사,농기계정비기능사,,,
3165,과정평가형자격,기능사,종자기능사,,,
3166,일학습병행자격,L3,세무·회계정보관리,,,
3167,일학습병행자격,L4,산업물류,,,
3168,일학습병행자격,L5,생산관리,,,
3169,일학습병행자격,L5,직업상담,,,
3170,과정평가형자격,기능사,식품가공기능사,,,
3171,과정평가형자격,기능사,원예기능사,,,
3172,일학습병행자격,L2,전자기기소프트웨어개발,,,
3173,국가기술자격,기사,제과산업기사,,,
3174,일학습병행자격,L3,김치반찬가공,,,
3175,일학습병행자격,L2,비철금속제련,건식,,
3176,일학습병행자격,L5,손해사정,신체,,
3177,일학습병행자격,L6,IT프로젝트관리,,,
3178,일학습병행자격,L4,카지노기획개발,,,
3179,일학습병행자격,L3,카지노딜러,,,
3180,일학습병행자격,L3,커플매니저,,,
3181,일학습병행자격,L2,콘크리트공기계조종,,,
3182,일학습병행자격,L4,크루즈운영관리,,,
3183,일학습병행자격,L3,태양광에너지생산기술,,,
3184,일학습병행자격,L5,태양광에너지생산기술,,,
3185,일학습병행자격,L5,태양열에너지생산기술,,,
