고유 번호,자격구분코드,자격구분명,계열명,종목명,상세분야,언어,버전,급수,공통유무
218,T,국가기술자격,기사,자기비파괴검사산업기사,,,,,
219,T,국가기술자격,기능장,에너지관리기능장,,,,,
220,T,국가기술자격,기사,농업기계산업기사,,,,,
221,T,국가기술자격,기사,사출금형산업기사,,,,,
222,T,국가기술자격,기사,공조냉동기계기사,,,,,
223,T,국가기술자격,기사,프레스금형산업기사,,,,,
224,T,국가기술자격,기사,철도차량산업기사,,,,,
225,T,국가기술자격,기사,소방설비기사,기계분야,,,,
226,T,국가기술자격,기사,대기환경기사,,,,,
227,T,국가기술자격,기사,용접산업기사,,,,,
228,T,국가기술자격,기사,가스기사,,,,,
229,T,국가기술자격,기사,건축기사,,,,,
230,T,국가기술자격,기사,건축설비기사,,,,,
231,T,국가기술자격,기사,폐기물처리기사,,,,,
232,T,국가기술자격,기사,기계조립산업기사,,,,,
233,T,국가기술자격,기사,축산기사,,,,,
234,T,국가기술자격,기사,임산가공기사,,,,,
235,T,국가기술자격,기사,식품안전기사,,,,,
236,T,국가기술자격,기사,수산제조기사,,,,,
237,T,국가기술자격,기사,승강기기사,,,,,
238,T,국가기술자격,기사,종자기사,,,,,
239,T,국가기술자격,기사,포장기사,,,,,
240,T,국가기술자격,기사,제품디자인기사,,,,,
241,T,국가기술자격,기사,시설원예기사,,,,,
242,T,국가기술자격,기사,시각디자인기사,,,,,
243,T,국가기술자격,기사,바이오화학제품제조기사,,,,,
244,T,국가기술자격,기술사,폐기물처리기술사,,,,,
245,T,국가기술자격,기사,화약류관리기사,,,,,
246,T,국가기술자격,기사,산업위생관리기사,,,,,
247,T,국가기술자격,기사,해양공학기사,,,,,
248,T,국가기술자격,기사,광학기사,,,,,
249,T,국가기술자격,기사,산업안전기사,,,,,
250,T,국가기술자격,기사,건설안전기사,,,,,
251,T,국가기술자격,기사,측량및지형공간정보기사,,,,,
252,T,국가기술자격,기사,프레스금형기사,,,,,
253,T,국가기술자격,기사,철도차량기사,,,,,
254,T,국가기술자격,기사,지적기사,,,,,
255,T,국가기술자격,기사,인쇄설계기사,,,,,
256,T,국가기술자격,기사,해양환경기사,,,,,
257,T,국가기술자격,기사,해양자원개발기사,,,,,
258,T,국가기술자격,기사,건설기계설비기사,,,,,
259,T,국가기술자격,기사,건설기계정비기사,,,,,
260,T,국가기술자격,기사,일반기계기사,,,,,
261,T,국가기술자격,기사,용접기사,,,,,
262,T,국가기술자격,기사,도시계획기사,,,,,
263,T,국가기술자격,기사,조경기사,,,,,
264,T,국가기술자격,기사,농업기계기사,,,,,
265,T,국가기술자격,기사,사출금형기사,,,,,
266,T,국가기술자격,기술사,소음진동기술사,,,,,
267,T,국가기술자격,기술사,농화학기술사,,,,,
268,T,국가기술자격,기사,정보처리기사,,,,,
269,T,국가기술자격,기사,전자계산기기사,,,,,
270,T,국가기술자격,기사,전자계산기조직응용기사,,,,,
271,T,국가기술자격,기사,실내건축기사,,,,,
272,T,국가기술자격,기술사,교통기술사,,,,,
273,T,국가기술자격,기사,수산양식기사,,,,,
274,T,국가기술자격,기사,침투비파괴검사기사,,,,,
275,T,국가기술자격,기사,와전류비파괴검사기사,,,,,
276,T,국가기술자격,기사,수질환경기사,,,,,
277,T,국가기술자격,기사,소음진동기사,,,,,
278,T,국가기술자격,기사,누설비파괴검사기사,,,,,
279,T,국가기술자격,기사,기상기사,,,,,
280,T,국가기술자격,기사,의류기사,,,,,
281,T,국가기술자격,기사,소방설비기사,전기분야,,,,
282,T,국가기술자격,기사,자기비파괴검사기사,,,,,
283,T,국가기술자격,기사,식물보호기사,,,,,
284,T,국가기술자격,기사,임업종묘기사,,,,,
285,T,국가기술자격,기사,건축일반시공산업기사,,,,,
286,T,국가기술자격,기사,건축목공산업기사,,,,,
287,T,국가기술자격,기사,대기환경산업기사,,,,,
288,T,국가기술자격,기사,수질환경산업기사,,,,,
289,T,국가기술자격,기사,조선산업기사,,,,,
290,T,국가기술자격,기사,식물보호산업기사,,,,,
291,T,국가기술자격,기사,수산양식산업기사,,,,,
292,T,국가기술자격,기사,잠수산업기사,,,,,
293,T,국가기술자격,기사,건축산업기사,,,,,
294,T,국가기술자격,기사,건축설비산업기사,,,,,
295,T,국가기술자격,기사,전기산업기사,,,,,
296,T,국가기술자격,기사,전기공사산업기사,,,,,
297,T,국가기술자격,기사,산림산업기사,,,,,
298,T,국가기술자격,기사,축산산업기사,,,,,
299,T,국가기술자격,기사,식품산업기사,,,,,
300,T,국가기술자격,기사,철도신호산업기사,,,,,
301,T,국가기술자격,기사,전자산업기사,,,,,
302,T,국가기술자격,기사,화약류관리산업기사,,,,,
303,T,국가기술자격,기사,종자산업기사,,,,,
304,T,국가기술자격,기사,가스산업기사,,,,,
305,T,국가기술자격,기사,항공산업기사,,,,,
306,T,국가기술자격,기사,토목산업기사,,,,,
307,T,국가기술자격,기사,주조산업기사,,,,,
308,T,국가기술자격,기사,표면처리산업기사,,,,,
309,T,국가기술자격,기사,시각디자인산업기사,,,,,
310,T,국가기술자격,기사,건설안전산업기사,,,,,
311,T,국가기술자격,기사,디지털인쇄산업기사,,,,,
312,T,국가기술자격,기사,승강기산업기사,,,,,
313,T,국가기술자격,기사,측량및지형공간정보산업기사,,,,,
314,T,국가기술자격,기사,지적산업기사,,,,,
315,T,국가기술자격,기사,금속재료산업기사,,,,,
316,T,국가기술자격,기사,정밀측정산업기사,,,,,
317,T,국가기술자격,기사,해양조사산업기사,,,,,
318,T,국가기술자격,기사,산업안전산업기사,,,,,
319,T,국가기술자격,기사,조경산업기사,,,,,
320,T,국가기술자격,기사,자동차정비산업기사,,,,,
321,T,국가기술자격,기사,건설기계설비산업기사,,,,,
322,T,국가기술자격,기사,배관산업기사,,,,,
323,T,국가기술자격,기사,방사선비파괴검사기사,,,,,
324,T,국가기술자격,기사,초음파비파괴검사기사,,,,,
325,T,국가기술자격,기사,철도신호기사,,,,,
